iter	Passed	Remaining
0	113	113342
1	313	156569
2	498	165673
3	607	151344
4	706	140540
5	834	138283
6	978	138795
7	1111	137774
8	1248	137469
9	1366	135248
10	1490	134046
11	1642	135220
12	1780	135212
13	2012	141711
14	2153	141403
15	2274	139894
16	2393	138412
17	2531	117	49918	2675	118	51419	2826	138490
20	2948	120	53921	3052	121	54922	3146	133675
23	3259	132539
24	3387	132114
25	3500	131129
26	3622	130536
27	3718	129083
28	3858	129190
29	3987	128930
30	4098	130	65331	4198	131	66432	4313	132	67833	4408	133	68934	4511	134	69935	4626	135	70936	4729	136	71837	4819	137	73138	4938	138	74239	5050	139	75140	5128	140	76141	5240	141	77342	5339	142	78343	5444	143	79644	5571	144	80945	5672	145	81846	5767	146	82747	5866	147	83748	5993	148	85049	6084	149	85950	6170	150	86851	6254	151	87752	6353	152	88853	6448	153	8973	157196
54	90555	6616	155	91456	6745	156	92357	6844	157	93158	6968	111134
59	7095	111168
60	7190	110690
61	7285	110220
62	7387	109880
63	7489	109530
64	7567	108862
65	7642	108149
66	7746	107869
67	7852	107625
68	7936	107078
69	8050	106956
70	8153	106683
71	8246	106286
72	8362	106196
73	8454	105794
74	8563	105621
75	8651	105185
76	8737	104740
77	8853	104655
78	8969	104571
79	9075	104369
80	9159	103917
81	9255	103619
82	9359	103406
83	9461	103176
84	9589	103233
85	9690	102994
86	9784	102677
87	9880	102395
88	10001	102372
89	10107	102199
90	10221	102102
91	10329	101951
92	10448	101905
93	10540	101590
94	10653	101489
95	10755	101277
96	10856	101063
97	10961	100892
98	11057	100635
99	11145	100309
100	11268	100304
101	11379	100180
102	11471	99898
103	11619	100108
104	11721	99912
105	11838	99841
106	11926	99535
107	12015	99236
108	12114	99026
109	12215	98836
110	12316	98643
111	12421	98485
112	12559	98586
113	12676	98524
114	12791	98438
115	12873	98108
116	12975	97925
117	13097	97898
118	13203	97747
119	13304	97566
120	13415	97456
121	13556	97563
122	13654	97359
123	13745	97102
124	13842	96897
125	13933	96652
126	14042	96529
127	14137	96313
128	14220	96018
129	14325	95873
130	14444	95816
131	14533	95565
132	14611	95249
133	14716	95105
134	14831	95032
135	14921	94795
136	14994	94455
